Filename                                                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
codecoverage/dist/include/mozilla/BitSet.h                                    23                 2    91.30%          12                 2    83.33%          30                 2    93.33%           2                 0   100.00%
codecoverage/dist/include/mozilla/BloomFilter.h                               14                 0   100.00%          12                 0   100.00%          35                 0   100.00%           4                 1    75.00%
codecoverage/dist/include/mozilla/Buffer.h                                    15                15     0.00%          12                12     0.00%          24                24     0.00%           0                 0         -
codecoverage/dist/include/mozilla/BufferList.h                               350               350     0.00%          26                26     0.00%         210               210     0.00%          40                40     0.00%
codecoverage/dist/include/mozilla/Casting.h                                    6                 0   100.00%           3                 0   100.00%          21                 0   100.00%           0                 0         -
codecoverage/dist/include/mozilla/ChaosMode.h                                  5                 5     0.00%           5                 5     0.00%          18                18     0.00%           0                 0         -
codecoverage/dist/include/mozilla/CheckedInt.h                                65                31    52.31%          18                 2    88.89%          80                20    75.00%          28                22    21.43%
codecoverage/dist/include/mozilla/CompactPair.h                               15                 6    60.00%          15                 6    60.00%          18                 9    50.00%           0                 0         -
codecoverage/dist/include/mozilla/Compression.h                                2                 2     0.00%           2                 2     0.00%           6                 6     0.00%           0                 0         -
codecoverage/dist/include/mozilla/DebugOnly.h                                  9                 3    66.67%           9                 3    66.67%           9                 3    66.67%           0                 0         -
codecoverage/dist/include/mozilla/DoublyLinkedList.h                          64                59     7.81%          19                17    10.53%          77                72     6.49%          14                14     0.00%
codecoverage/dist/include/mozilla/EndianUtils.h                               48                27    43.75%          20                11    45.00%         110                68    38.18%           6                 6     0.00%
codecoverage/dist/include/mozilla/EnumSet.h                                   87                28    67.82%          25                 9    64.00%         112                49    56.25%          10                 0   100.00%
codecoverage/dist/include/mozilla/EnumeratedArray.h                            7                 2    71.43%           7                 2    71.43%           9                 2    77.78%           0                 0         -
codecoverage/dist/include/mozilla/EnumeratedRange.h                           12                 0   100.00%           9                 0   100.00%          19                 0   100.00%           0                 0         -
codecoverage/dist/include/mozilla/FastBernoulliTrial.h                        28                17    39.29%           6                 3    50.00%          50                36    28.00%          14                11    21.43%
codecoverage/dist/include/mozilla/FloatingPoint.h                             70                 8    88.57%          22                 4    81.82%         188                44    76.60%          18                 2    88.89%
codecoverage/dist/include/mozilla/HashFunctions.h                             33                 9    72.73%          24                 6    75.00%         107                24    77.57%           6                 2    66.67%
codecoverage/dist/include/mozilla/HashTable.h                                591                92    84.43%         201                31    84.58%         869               187    78.48%         154                45    70.78%
codecoverage/dist/include/mozilla/IntegerRange.h                              11                 0   100.00%           8                 0   100.00%          18                 0   100.00%           0                 0         -
codecoverage/dist/include/mozilla/JSONWriter.h                                34                34     0.00%          34                34     0.00%         201               201     0.00%           0                 0         -
codecoverage/dist/include/mozilla/Latin1.h                                    32                23    28.12%          10                 8    20.00%          75                54    28.00%          12                 9    25.00%
codecoverage/dist/include/mozilla/Likely.h                                     1                 1     0.00%           1                 1     0.00%           1                 1     0.00%           0                 0         -
codecoverage/dist/include/mozilla/LinkedList.h                               112                31    72.32%          38                 1    97.37%         133                16    87.97%          20                 7    65.00%
codecoverage/dist/include/mozilla/MathAlgorithms.h                            76                 8    89.47%          29                 6    79.31%         116                16    86.21%          14                 3    78.57%
codecoverage/dist/include/mozilla/Maybe.h                                    371               192    48.25%          63                13    79.37%         235                52    77.87%          34                16    52.94%
codecoverage/dist/include/mozilla/MaybeOneOf.h                                32                 0   100.00%          13                 0   100.00%          41                 0   100.00%           6                 1    83.33%
codecoverage/dist/include/mozilla/MaybeStorageBase.h                          16                 3    81.25%          16                 3    81.25%          16                 3    81.25%           0                 0         -
codecoverage/dist/include/mozilla/NotNull.h                                    3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
codecoverage/dist/include/mozilla/OperatorNewExtensions.h                      4                 0   100.00%           1                 0   100.00%           4                 0   100.00%           0                 0         -
codecoverage/dist/include/mozilla/PodOperations.h                             21                 0   100.00%           6                 0   100.00%          35                 4    88.57%           6                 0   100.00%
codecoverage/dist/include/mozilla/Poison.h                                    11                 3    72.73%           5                 3    40.00%          20                10    50.00%           2                 0   100.00%
codecoverage/dist/include/mozilla/Printf.h                                    31                 8    74.19%          11                 2    81.82%          52                11    78.85%          14                 7    50.00%
codecoverage/dist/include/mozilla/ProfileBufferChunk.h                        34                34     0.00%          34                34     0.00%         222               222     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProfileBufferChunkManager.h                  1                 1     0.00%           1                 1     0.00%           6                 6     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProfileBufferChunkManagerSingle.h           15                15     0.00%          15                15     0.00%          81                81     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProfileBufferEntrySerialization.h           57                57     0.00%          57                57     0.00%         343               343     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProfileBufferIndex.h                        12                12     0.00%          12                12     0.00%          28                28     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProfileChunkedBuffer.h                      69                69     0.00%          69                69     0.00%         873               873     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProfileChunkedBufferDetail.h                18                18     0.00%          18                18     0.00%         302               302     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProgressLogger.h                            29                29     0.00%          29                29     0.00%         216               216     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ProportionValue.h                           19                19     0.00%          19                19     0.00%          97                97     0.00%           0                 0         -
codecoverage/dist/include/mozilla/Range.h                                     18                10    44.44%          10                 3    70.00%          18                 9    50.00%           2                 1    50.00%
codecoverage/dist/include/mozilla/RangedPtr.h                                 76                 3    96.05%          25                 3    88.00%          94                 9    90.43%           0                 0         -
codecoverage/dist/include/mozilla/ReentrancyGuard.h                            2                 0   100.00%           2                 0   100.00%           4                 0   100.00%           0                 0         -
codecoverage/dist/include/mozilla/RefCounted.h                                 8                 8     0.00%           8                 8     0.00%          74                74     0.00%           0                 0         -
codecoverage/dist/include/mozilla/RefPtr.h                                    58                 5    91.38%          40                 5    87.50%         127                15    88.19%          12                 2    83.33%
codecoverage/dist/include/mozilla/Result.h                                   114                83    27.19%          48                32    33.33%         155               112    27.74%          14                12    14.29%
codecoverage/dist/include/mozilla/ResultVariant.h                              2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ReverseIterator.h                            4                 4     0.00%           4                 4     0.00%           6                 6     0.00%           0                 0         -
codecoverage/dist/include/mozilla/ScopeExit.h                                  6                 0   100.00%           4                 0   100.00%          10                 0   100.00%           2                 0   100.00%
codecoverage/dist/include/mozilla/SegmentedVector.h                          111                41    63.06%          23                 5    78.26%         129                43    66.67%          26                13    50.00%
codecoverage/dist/include/mozilla/Span.h                                     213               116    45.54%          53                18    66.04%         137                60    56.20%          12                 6    50.00%
codecoverage/dist/include/mozilla/Sprintf.h                                   14                 2    85.71%           6                 1    83.33%          44                14    68.18%           4                 2    50.00%
codecoverage/dist/include/mozilla/TaggedAnonymousMemory.h                      3                 1    66.67%           3                 1    66.67%          10                 5    50.00%           0                 0         -
